Image Name,Scan Type(s),Scan Description,Bottom Line,Source URL
image0001.png,CT,"figure3: On an iOS device, an NCCT brain scan shown in image a was incorrectly interpreted as having a dense MCA sign (arrow). On an iOS device, a CT angiography brain scan (image b) demonstrates a normal patent vessel. On the workstation monitor, an NCCT brain image c shows nearly the same Hounsfield units (open rectangles) of both vessel segments, thus avoiding the error made on the iOS device.","Bottom Line:The interpretations made on an iOS device were compared with those made at a workstation.No significant difference (P<.05) was noted in the interpretation time between the workstation and iOS device.Generalizing conclusions about its clinical utility, especially in other diagnostic use cases, should not be made until additional studies are performed.",https://openi.nlm.nih.gov/imgs/150/147/3221380/PMC3221380_jmir_v13i2e31_fig3.png
image0002.png,"CT, Tomography",F2: Postoperative plain computed tomography scan brain: (a) Plain CT scan brain showing the mass lesion in the right cerebellar region; (b-d) plain CT scan brain showing the evacuated hematoma with the shunt tube in situ,Bottom Line:Ventriculo peritoneal (VP) shunt uncommonly complicates as intracranial hematomas which can still occur in patients with a functioning VP shunt leading to a delay in the diagnosis which can be extremely dangerous and lead to adverse outcomes.We report a case of an incidental diagnosis of delayed post-operative EDH following VP shunt in an young adult patient with a right cerebellar lesion and highlight the need for meticulous post-operative neurological examination.,https://openi.nlm.nih.gov/imgs/150/215/4244800/PMC4244800_JNRP-6-94-g002.png
image0003.png,"Tomography, Magnetic resonance","F1: Brain imaging studies. (a) Pre-treatment brain magnetic resonance imaging scan showing bilateral mesial temporal high T2 signal intensity (arrows). (b) Pre-treatment brain positron emission tomography/computed tomography brain scan revealing a focus of intensely increased 18F-fluorodeoxyglucose uptake limited to the head of the right hippocampus (arrow) on a background of globally decreased 18F-fluorodeoxyglucose uptake. (c) Post-treatment brain magnetic resonance imaging scan showing marked improvement in the previously identified bilateral hyperintensities, which were replaced by atrophy (arrows). (d) Post-treatment positron emission tomography brain scan showing normal 18F-fluorodeoxyglucose uptake in the right hippocampus.","Bottom Line:The results of his initial physical examination were normal.An 18F-fluorodeoxyglucose positron emission tomography brain scan showed intensely increased 18F-fluorodeoxyglucose uptake limited to the head of the right hippocampus.He responded to penicillin treatment with an improvement in his cognition, which was further reflected in a complete resolution of the findings previously seen on magnetic resonance imaging and 18F-fluorodeoxyglucose positron emission tomography scans.",https://openi.nlm.nih.gov/imgs/150/389/3514352/PMC3514352_1752-1947-6-389-1.png
image0004.png,"CT, MRI, MR","f3-kjim-10-2-160-14: MRI brain scan after occurrence of diplopia on lateral gaze shows nodular hyperintense lesion in posterior aspect of mid-brain on contrast enhanced T1-WI.MRI brain scan after brain radiotherapy with 2520 cGY shows nearly complete resolution of previously noted nodular hyperintense lesion in mid-brain.CT scan of brain after development of left-sided hemiplegia reveals relatively well defined, round inhomogeneous enhanced hyperdense mass lesion with surrounding edema in right parietal region.",Bottom Line:Granulocytic sarcoma is rare extramedullary tumor composed of myeloblasts and other granulocytic precursors.The majority of cases have been reported in association with acute myeloid leukemia (AML) or myeloproliferative disorders.Granulocytic sarcoma may occur in patients with myelodysplastic syndromes.,https://openi.nlm.nih.gov/imgs/150/349/4532050/PMC4532050_kjim-10-2-160-14f3.png
image0005.png,"CT, Tomography","FI1400007cr-3: Postoperative CT brain scan showing a postoperative cervical pseudomeningocele with ventricular size enlarged (a, b) and subsequent resolution of hydrocephalus after a ventriculoperitoneal shunting (c, d). CT, computed tomography.","Bottom Line:A CT brain scan showed a postoperative cervical pseudomeningocele and an increase in the ventricular sizes, resulting in hydrocephalus.Results A ventriculoperitoneal shunting was performed using a programmable valve opening pressure set to 120 mmH20.After surgery, the patient's neurological status markedly improved.",https://openi.nlm.nih.gov/imgs/150/193/4212698/PMC4212698_10-1055-s-0034-1387805-i1400007cr-3.png
image0006.png,CT,F1: (a) Preoperative CT brain scan showing SAH in Rt. sylvian fissure and Rt. ambient cistern (b) CT brain scan showing clearance of subarachnoid blood (post-FLUX use),Bottom Line:We were successful in clearing cisternal blood in three patients with aneurysmal rupture with fluid exchange catheter system.The result is good clearance of blood in subarachnoid spaces were seen in all the patients.We conclude that the fluid exchange catheter system is safe and adoptable in neurosurgical practice.,https://openi.nlm.nih.gov/imgs/150/61/3410165/PMC3410165_AJNS-7-78-g001.png
image0007.png,CT,"fig7: HTT10150 shows no toxicity in DARPP-32-positive neurons around the site of injection. HTT10150 was unilaterally injected into the striatum of WT (FVB/NJ) mice. Brains were collected after 5 days, fixed, sectioned, and stained with antibodies against DARPP-32 (a–d). Representative image of striatum after injection of (a,b) ACSF, full brain scan and ×60 magnification or (c,d) 12.5 µg HTT10150, full brain scan and ×60 magnification. (a) Quantification of DARPP-32–positive neurons (n = 3 mice, mean ± SD). Images are representative results confirmed in separate images of all injected brains.",No bottom line,https://openi.nlm.nih.gov/imgs/150/27/5014532/PMC5014532_mtna201538f7.png
image0008.png,CT,"F2: (a) CT brain scan showing hematoma and subarachnoid blood in right ambient cistern, immediately after clipping (b) Seventy two hours post-irrigation CT brain scan showing clearance of subarachnoid blood, FLUX catheter in situ",Bottom Line:We were successful in clearing cisternal blood in three patients with aneurysmal rupture with fluid exchange catheter system.The result is good clearance of blood in subarachnoid spaces were seen in all the patients.We conclude that the fluid exchange catheter system is safe and adoptable in neurosurgical practice.,https://openi.nlm.nih.gov/imgs/150/61/3410165/PMC3410165_AJNS-7-78-g002.png
image0009.png,CT,F1: Preoperative CT brain scan Sample figure title. CT brain scan-Old ischemic findings in the right hemisphere.,Bottom Line:The differential diagnosis of clots and myxomas in the left atrium is mostly based on echocardiography.Infection of intracardiac thrombi is extremely rare and mostly reported in ventricular clots or aneurysms following myocardial infarction.Although the patient underwent prompt surgery with removal of the clot and valve replacement the complication of septic emboli to the CNS led her to death.,https://openi.nlm.nih.gov/imgs/150/265/2373784/PMC2373784_1749-8090-3-18-1.png
image0010.png,Unknown,f0010: Whole-brain representation of classification analysis (reproducible) brain map (p < 0.05FDR). Increasing the signal locally in cold areas will make a particular brain scan more likely to be classified as a KS patient. Increasing the signal locally in warm areas will make a brain scan more likely to be classified as a control.,"Bottom Line:Compared to controls, KS patients had significantly decreased GMV bilaterally in insula, putamen, caudate, hippocampus, amygdala, temporal pole and frontal inferior orbita.Regression analyses, however, revealed no significant association between GMV differences and cognitive and psychological factors within the KS patients and controls or the groups combined.These results show that although gene dosage effect of having and extra X-chromosome may lead to large scale alterations of brain morphometry and extended cognitive disabilities no simple correspondence links these measures.",https://openi.nlm.nih.gov/imgs/150/115/3830066/PMC3830066_gr2.png
